chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
java/org/jfree/chart/title/Title.java,org.jfree.chart.title.Title,347.0,200.0,0.57636887,31.0,0.018592544
java/org/jfree/chart/entity/CategoryLabelEntity.java,org.jfree.chart.entity.CategoryLabelEntity,78.0,39.0,0.5,7.0,0.071428575
java/org/jfree/chart/plot/dial/DialLayerChangeEvent.java,org.jfree.chart.plot.dial.DialLayerChangeEvent,27.0,17.0,0.6296296,1.0,0.6296296
java/org/jfree/chart/plot/CategoryPlot.java,org.jfree.chart.plot.CategoryPlot,4286.0,2129.0,0.49673355,495.0,0.0010035022
java/org/jfree/chart/annotations/XYLineAnnotation.java,org.jfree.chart.annotations.XYLineAnnotation,268.0,130.0,0.48507464,25.0,0.019402986
java/org/jfree/chart/plot/pie/PieLabelRecord.java,org.jfree.chart.plot.pie.PieLabelRecord,228.0,120.0,0.5263158,26.0,0.020242916
java/org/jfree/data/flow/DefaultFlowDataset.java,org.jfree.data.flow.DefaultFlowDataset,306.0,140.0,0.45751634,41.0,0.011158935
java/org/jfree/chart/swing/editor/LCBLayout.java,org.jfree.chart.swing.editor.LCBLayout,203.0,76.0,0.37438422,7.0,0.05348346
java/org/jfree/chart/labels/BubbleXYItemLabelGenerator.java,org.jfree.chart.labels.BubbleXYItemLabelGenerator,189.0,96.0,0.50793654,16.0,0.031746034
java/org/jfree/chart/block/EntityBlockResult.java,org.jfree.chart.block.EntityBlockResult,12.0,9.0,0.75,0.0,Infinity
java/org/jfree/chart/plot/dial/DialLayerChangeListener.java,org.jfree.chart.plot.dial.DialLayerChangeListener,14.0,11.0,0.78571427,0.0,Infinity
java/org/jfree/chart/labels/StandardPieSectionLabelGenerator.java,org.jfree.chart.labels.StandardPieSectionLabelGenerator,176.0,114.0,0.64772725,10.0,0.064772725
java/org/jfree/data/statistics/HistogramDataset.java,org.jfree.data.statistics.HistogramDataset,412.0,221.0,0.53640777,40.0,0.013410194
java/org/jfree/chart/plot/Zoomable.java,org.jfree.chart.plot.Zoomable,108.0,97.0,0.8981481,0.0,Infinity
java/org/jfree/chart/entity/NodeEntity.java,org.jfree.chart.entity.NodeEntity,48.0,30.0,0.625,2.0,0.3125
java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java,org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,324.0,126.0,0.3888889,23.0,0.016908213
java/org/jfree/chart/event/AnnotationChangeListener.java,org.jfree.chart.event.AnnotationChangeListener,12.0,9.0,0.75,0.0,Infinity
java/org/jfree/chart/annotations/AbstractXYAnnotation.java,org.jfree.chart.annotations.AbstractXYAnnotation,140.0,78.0,0.55714285,15.0,0.037142858
java/org/jfree/data/RangeType.java,org.jfree.data.RangeType,18.0,13.0,0.7222222,0.0,Infinity
java/org/jfree/chart/entity/FlowEntity.java,org.jfree.chart.entity.FlowEntity,63.0,31.0,0.4920635,6.0,0.08201058
java/org/jfree/chart/swing/PolarChartPanel.java,org.jfree.chart.swing.PolarChartPanel,162.0,69.0,0.42592594,12.0,0.03549383
java/org/jfree/chart/plot/dial/StandardDialFrame.java,org.jfree.chart.plot.dial.StandardDialFrame,262.0,142.0,0.54198474,23.0,0.023564553
java/org/jfree/chart/plot/dial/DialPointer.java,org.jfree.chart.plot.dial.DialPointer,508.0,262.0,0.515748,12.0,0.042979002
java/org/jfree/data/xml/DatasetTags.java,org.jfree.data.xml.DatasetTags,29.0,21.0,0.7241379,0.0,Infinity
java/org/jfree/chart/annotations/Annotation.java,org.jfree.chart.annotations.Annotation,19.0,15.0,0.7894737,0.0,Infinity
java/org/jfree/chart/axis/Timeline.java,org.jfree.chart.axis.Timeline,90.0,81.0,0.9,0.0,Infinity
java/org/jfree/data/time/ohlc/OHLCSeriesCollection.java,org.jfree.data.time.ohlc.OHLCSeriesCollection,405.0,235.0,0.5802469,39.0,0.014878126
java/org/jfree/chart/text/format/LogFormat.java,org.jfree.chart.text.format.LogFormat,189.0,100.0,0.52910054,17.0,0.031123562
java/org/jfree/chart/block/AbstractBlock.java,org.jfree.chart.block.AbstractBlock,534.0,301.0,0.5636704,54.0,0.010438341
java/org/jfree/data/xy/VectorSeriesCollection.java,org.jfree.data.xy.VectorSeriesCollection,258.0,155.0,0.6007752,21.0,0.028608343
java/org/jfree/chart/plot/dial/DialScale.java,org.jfree.chart.plot.dial.DialScale,27.0,23.0,0.8518519,0.0,Infinity
java/org/jfree/data/statistics/StatisticalCategoryDataset.java,org.jfree.data.statistics.StatisticalCategoryDataset,42.0,36.0,0.85714287,0.0,Infinity
java/org/jfree/chart/api/XYCoordinateType.java,org.jfree.chart.api.XYCoordinateType,19.0,14.0,0.7368421,0.0,Infinity
java/org/jfree/chart/axis/DateTickMarkPosition.java,org.jfree.chart.axis.DateTickMarkPosition,18.0,13.0,0.7222222,0.0,Infinity
java/org/jfree/chart/renderer/xy/StackedXYAreaRenderer.java,org.jfree.chart.renderer.xy.StackedXYAreaRenderer,502.0,247.0,0.49203187,24.0,0.020501329
java/org/jfree/data/time/Month.java,org.jfree.data.time.Month,451.0,231.0,0.5121951,38.0,0.013478818
java/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,22.0,13.0,0.59090906,1.0,0.59090906
java/org/jfree/data/xy/XIntervalSeries.java,org.jfree.data.xy.XIntervalSeries,115.0,81.0,0.70434785,7.0,0.10062112
java/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java,org.jfree.chart.renderer.category.MinMaxCategoryRenderer,425.0,205.0,0.48235294,25.0,0.019294119
java/org/jfree/chart/labels/XYSeriesLabelGenerator.java,org.jfree.chart.labels.XYSeriesLabelGenerator,20.0,17.0,0.85,0.0,Infinity
java/org/jfree/chart/annotations/XYDataImageAnnotation.java,org.jfree.chart.annotations.XYDataImageAnnotation,270.0,143.0,0.52962965,26.0,0.020370372
java/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,1331.0,533.0,0.4004508,111.0,0.0036076647
java/org/jfree/chart/renderer/WaferMapRenderer.java,org.jfree.chart.renderer.WaferMapRenderer,298.0,123.0,0.41275167,30.0,0.013758389
java/org/jfree/chart/labels/BoxAndWhiskerXYToolTipGenerator.java,org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,96.0,54.0,0.5625,6.0,0.09375
java/org/jfree/chart/entity/CategoryItemEntity.java,org.jfree.chart.entity.CategoryItemEntity,138.0,82.0,0.5942029,13.0,0.045707915
java/org/jfree/chart/axis/CategoryLabelPosition.java,org.jfree.chart.axis.CategoryLabelPosition,192.0,107.0,0.5572917,16.0,0.03483073
java/org/jfree/chart/annotations/XYShapeAnnotation.java,org.jfree.chart.annotations.XYShapeAnnotation,209.0,94.0,0.44976076,18.0,0.024986709
java/org/jfree/chart/axis/AxisLocation.java,org.jfree.chart.axis.AxisLocation,52.0,28.0,0.53846157,6.0,0.08974359
java/org/jfree/data/xy/VectorDataItem.java,org.jfree.data.xy.VectorDataItem,71.0,39.0,0.5492958,7.0,0.078470826
java/org/jfree/data/gantt/GanttCategoryDataset.java,org.jfree.data.gantt.GanttCategoryDataset,122.0,110.0,0.90163934,0.0,Infinity
java/org/jfree/chart/renderer/xy/SamplingXYLineRenderer.java,org.jfree.chart.renderer.xy.SamplingXYLineRenderer,278.0,142.0,0.51079136,14.0,0.0364851
java/org/jfree/chart/text/G2TextMeasurer.java,org.jfree.chart.text.G2TextMeasurer,33.0,20.0,0.6060606,1.0,0.6060606
java/org/jfree/data/time/TimePeriod.java,org.jfree.data.time.TimePeriod,20.0,16.0,0.8,0.0,Infinity
java/org/jfree/chart/axis/QuarterDateFormat.java,org.jfree.chart.axis.QuarterDateFormat,133.0,71.0,0.5338346,8.0,0.06672932
java/org/jfree/chart/entity/PlotEntity.java,org.jfree.chart.entity.PlotEntity,147.0,80.0,0.5442177,13.0,0.0418629
java/org/jfree/chart/axis/CategoryAnchor.java,org.jfree.chart.axis.CategoryAnchor,18.0,13.0,0.7222222,0.0,Infinity
java/org/jfree/data/RangeInfo.java,org.jfree.data.RangeInfo,34.0,29.0,0.85294116,0.0,Infinity
java/org/jfree/data/statistics/SimpleHistogramDataset.java,org.jfree.data.statistics.SimpleHistogramDataset,405.0,235.0,0.5802469,41.0,0.014152364
java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGenerator.java,org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,43.0,28.0,0.6511628,1.0,0.6511628
java/org/jfree/chart/plot/CategoryMarker.java,org.jfree.chart.plot.CategoryMarker,129.0,72.0,0.55813956,11.0,0.05073996
java/org/jfree/chart/api/Layer.java,org.jfree.chart.api.Layer,13.0,9.0,0.6923077,0.0,Infinity
java/org/jfree/chart/imagemap/URLTagFragmentGenerator.java,org.jfree.chart.imagemap.URLTagFragmentGenerator,18.0,15.0,0.8333333,0.0,Infinity
java/org/jfree/chart/date/SpreadsheetDate.java,org.jfree.chart.date.SpreadsheetDate,362.0,203.0,0.5607735,23.0,0.024381457
java/org/jfree/chart/renderer/xy/StandardXYItemRenderer.java,org.jfree.chart.renderer.xy.StandardXYItemRenderer,819.0,426.0,0.52014655,58.0,0.008968044
java/org/jfree/data/general/KeyedValues2DDataset.java,org.jfree.data.general.KeyedValues2DDataset,10.0,8.0,0.8,0.0,Infinity
java/org/jfree/chart/renderer/xy/DefaultXYItemRenderer.java,org.jfree.chart.renderer.xy.DefaultXYItemRenderer,11.0,8.0,0.72727275,0.0,Infinity
java/org/jfree/chart/annotations/CategoryAnnotation.java,org.jfree.chart.annotations.CategoryAnnotation,18.0,15.0,0.8333333,0.0,Infinity
java/org/jfree/data/general/Series.java,org.jfree.data.general.Series,188.0,115.0,0.61170214,18.0,0.033983454
java/org/jfree/data/DefaultKeyedValue.java,org.jfree.data.DefaultKeyedValue,114.0,64.0,0.5614035,10.0,0.056140352
java/org/jfree/chart/encoders/SunJPEGEncoderAdapter.java,org.jfree.chart.encoders.SunJPEGEncoderAdapter,109.0,64.0,0.58715594,7.0,0.08387942
java/org/jfree/chart/axis/PeriodAxisLabelInfo.java,org.jfree.chart.axis.PeriodAxisLabelInfo,283.0,155.0,0.5477032,16.0,0.03423145
