chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
java/org/jfree/chart/entity,org.jfree.chart.entity,1937.0,1077.0,0.5560145,171.0,0.0032515468
java/org/jfree/data/gantt,org.jfree.data.gantt,1991.0,1091.0,0.5479658,196.0,0.002795744
java/org/jfree/chart/block,org.jfree.chart.block,3891.0,1923.0,0.49421743,366.0,0.0013503209
java/org/jfree/data/resources,org.jfree.data.resources,108.0,66.0,0.6111111,6.0,0.10185185
java/org/jfree/chart/text,org.jfree.chart.text,1869.0,955.0,0.51096845,183.0,0.0027921773
java/org/jfree/chart/imagemap,org.jfree.chart.imagemap,314.0,182.0,0.57961786,24.0,0.024150744
java/org/jfree/data/general,org.jfree.data.general,3944.0,1950.0,0.4944219,361.0,0.0013695897
java/org/jfree/chart/internal,org.jfree.chart.internal,1740.0,700.0,0.40229884,164.0,0.0024530417
java/org/jfree/chart/renderer/category,org.jfree.chart.renderer.category,10470.0,5255.0,0.5019102,860.0,5.8361655E-4
java/org/jfree/data/time,org.jfree.data.time,9049.0,4871.0,0.5382915,746.0,7.215704E-4
java/org/jfree/data,org.jfree.data,3678.0,1866.0,0.50734097,375.0,0.0013529093
java/org/jfree/chart,org.jfree.chart,5597.0,2997.0,0.5354654,495.0,0.0010817483
java/org/jfree/chart/annotations,org.jfree.chart.annotations,4602.0,2415.0,0.5247718,404.0,0.0012989402
java/org/jfree/chart/plot,org.jfree.chart.plot,22896.0,11521.0,0.5031883,2386.0,2.10892E-4
java/org/jfree/chart/plot/dial,org.jfree.chart.plot.dial,4738.0,2613.0,0.55149853,387.0,0.0014250608
java/org/jfree/data/statistics,org.jfree.data.statistics,4878.0,2521.0,0.5168102,442.0,0.0011692538
java/org/jfree/chart/swing,org.jfree.chart.swing,4144.0,1981.0,0.47804055,357.0,0.0013390492
java/org/jfree/data/io,org.jfree.data.io,136.0,60.0,0.44117647,12.0,0.036764707
java/org/jfree/chart/encoders,org.jfree.chart.encoders,463.0,298.0,0.64362854,29.0,0.022194088
java/org/jfree/data/flow,org.jfree.data.flow,770.0,392.0,0.5090909,90.0,0.0056565655
java/org/jfree/data/json,org.jfree.data.json,138.0,50.0,0.36231884,8.0,0.045289855
java/org/jfree/chart/renderer,org.jfree.chart.renderer,5086.0,2766.0,0.54384583,503.0,0.0010812044
java/org/jfree/chart/event,org.jfree.chart.event,490.0,328.0,0.66938776,17.0,0.039375752
java/org/jfree/chart/urls,org.jfree.chart.urls,1049.0,533.0,0.50810295,86.0,0.005908174
java/org/jfree/chart/axis,org.jfree.chart.axis,14923.0,7205.0,0.48281178,1337.0,3.6111576E-4
java/org/jfree/chart/util,org.jfree.chart.util,1210.0,617.0,0.5099174,106.0,0.0048105414
java/org/jfree/chart/renderer/xy,org.jfree.chart.renderer.xy,15440.0,7626.0,0.49391192,1134.0,4.3554843E-4
java/org/jfree/chart/date,org.jfree.chart.date,1265.0,754.0,0.5960474,120.0,0.004967062
java/org/jfree/data/category,org.jfree.data.category,1652.0,908.0,0.5496368,164.0,0.0033514437
java/org/jfree/chart/legend,org.jfree.chart.legend,2936.0,1539.0,0.52418256,268.0,0.001955905
java/org/jfree/data/function,org.jfree.data.function,365.0,204.0,0.5589041,31.0,0.018029165
java/org/jfree/chart/swing/editor,org.jfree.chart.swing.editor,2563.0,1094.0,0.42684355,200.0,0.0021342179
java/org/jfree/chart/text/format,org.jfree.chart.text.format,811.0,445.0,0.5487053,69.0,0.007952251
java/org/jfree/chart/title,org.jfree.chart.title,1745.0,887.0,0.5083095,157.0,0.00323764
java/org/jfree/data/xy,org.jfree.data.xy,9460.0,5521.0,0.58361524,828.0,7.048493E-4
java/org/jfree/chart/labels,org.jfree.chart.labels,3904.0,2145.0,0.54943645,279.0,0.0019693063
java/org/jfree/chart/plot/flow,org.jfree.chart.plot.flow,693.0,279.0,0.4025974,73.0,0.005515033
java/org/jfree/data/json/impl,org.jfree.data.json.impl,573.0,288.0,0.5026178,61.0,0.008239635
java/org/jfree/data/xml,org.jfree.data.xml,743.0,407.0,0.54777926,63.0,0.008694909
java/org/jfree/chart/plot/pie,org.jfree.chart.plot.pie,3969.0,1991.0,0.5016377,367.0,0.0013668602
java/org/jfree/chart/api,org.jfree.chart.api,967.0,490.0,0.5067218,95.0,0.0053339135
java/org/jfree/data/time/ohlc,org.jfree.data.time.ohlc,689.0,390.0,0.5660377,67.0,0.008448324
java/org/jfree/chart/plot/compass,org.jfree.chart.plot.compass,1852.0,847.0,0.4573434,199.0,0.002298208
